num anc sex sal apbac
1 6 2 1245.00 0
2 4 1 1363.00 4
3 0 1 1412.00 2
4 2 2 1405.00 0
5 3 2 1295.00 5
6 2 1 1410.00 2
7 12 2 1071.00 1
8 10 1 1122.00 2
9 2 1 1397.00 5
10 7 2 1210.00 3
11 1 1 1387.00 4
12 3 1 1316.00 0
13 3 1 1305.00 1
14 11 1 1065.00 0
15 12 1 1065.00 3
16 8 2 1212.00 4
17 3 2 1326.00 0
18 12 2 1111.00 2
19 2 1 1377.00 4
20 5 2 1250.00 2
21 4 2 1291.00 3
22 0 2 1445.00 4
23 3 1 1303.00 2
24 6 2 1257.00 3
25 5 1 1317.00 3
26 0 1 1429.00 3
27 6 1 1329.00 3
28 3 2 1345.00 2
29 6 1 1282.00 5
30 9 2 1111.00 3
31 9 1 1173.00 1
32 11 2 1120.00 3
33 2 2 1415.00 0
34 0 1 1440.00 3
