num anc sex sal apbac
1 11 1 1660.00 1
2 12 1 1947.00 3
3 8 1 1722.00 0
4 6 2 1591.15 3
5 11 1 1808.00 3
6 9 2 1686.39 2
7 4 1 1633.00 2
8 7 1 1821.00 1
9 4 2 1412.22 5
10 10 1 1891.00 3
11 4 1 1593.00 2
12 5 1 1751.00 0
13 1 1 1367.00 4
14 1 1 1402.00 5
15 12 1 1805.00 5
16 7 2 1561.33 4
17 2 1 1400.00 0
18 1 2 1453.58 3
19 2 1 1682.00 1
20 7 1 1605.00 2
21 4 1 1578.00 5
22 8 2 1832.61 4
23 9 2 1684.46 5
24 12 2 1881.67 3
25 9 1 1764.00 5
26 7 1 1759.00 2
27 2 1 1500.00 4
28 5 2 1567.10 1
29 10 1 1734.00 0
30 3 1 1683.00 2
31 1 1 1333.00 3
32 5 1 1717.00 5
33 7 1 1705.00 2
34 4 1 1503.00 4
