num anc sex sal apbac
1 2 1 1321.00 2
2 9 2 1749.88 3
3 6 1 1775.00 2
4 11 1 1928.00 1
5 11 2 1832.61 4
6 4 2 1569.98 4
7 5 1 1531.00 2
8 1 2 1407.41 5
9 12 1 1897.00 5
10 7 1 1750.00 5
11 11 1 1966.00 0
12 11 2 1777.78 1
13 9 1 1890.00 4
14 11 2 1860.51 0
15 1 2 1550.74 0
16 3 1 1656.00 1
17 10 1 1999.00 5
18 7 1 1585.00 2
19 9 2 1696.01 2
20 11 1 1899.00 4
21 11 1 1819.00 0
22 12 1 1912.00 2
23 11 1 1999.00 4
24 12 1 2015.00 2
25 2 2 1531.50 4
26 0 2 1287.16 3
27 10 1 1955.00 2
28 9 1 1740.00 3
29 4 2 1627.70 3
30 10 1 1786.00 2
31 1 2 1371.81 2
32 11 1 1802.00 5
33 1 2 1565.17 5
34 10 1 1749.00 1
