num anc sex sal apbac
1 2 1 1525.00 0
2 1 1 1475.00 5
3 8 2 1690.23 2
4 4 1 1570.00 3
5 1 2 1441.08 2
6 7 1 1749.00 0
7 4 2 1515.15 5
8 9 2 1764.31 5
9 1 2 1438.19 1
10 10 1 1863.00 5
11 1 2 1414.14 4
12 4 1 1587.00 3
13 10 1 1843.00 4
14 1 1 1445.00 2
15 12 1 1930.00 5
16 7 2 1670.99 2
17 11 1 1904.00 3
18 11 2 1819.14 3
19 2 1 1471.00 2
20 11 2 1825.88 1
21 12 1 1962.00 0
22 8 1 1769.00 5
23 11 2 1840.31 1
24 2 1 1535.00 5
25 11 1 1898.00 4
26 9 1 1797.00 1
27 11 1 1904.00 0
28 9 1 1800.00 5
29 12 2 1858.58 0
30 1 1 1463.00 0
31 9 1 1847.00 5
32 11 1 1924.00 4
33 5 2 1547.86 1
34 9 2 1757.57 3
