num anc sex sal apbac
1 2 2 1360.27 1
2 9 1 4890.00 5
3 5 1 2741.00 1
4 7 2 3321.79 4
5 6 1 2836.00 3
6 0 1 1270.00 2
7 2 2 1456.47 1
8 2 2 1594.03 1
9 7 2 3335.25 2
10 0 2 1289.08 4
11 8 1 4100.00 4
12 4 2 2139.49 4
13 12 1 7621.00 1
14 5 1 2467.00 4
15 10 2 5488.21 3
16 6 2 2794.61 1
17 10 2 5438.19 5
18 8 2 4030.78 3
19 8 2 3935.54 2
20 6 1 2911.00 1
21 10 2 5345.83 3
22 6 1 2941.00 4
23 1 1 1686.00 3
24 6 2 2821.55 3
25 0 1 1479.00 5
26 3 2 1709.47 3
27 10 2 5554.59 4
28 0 1 1338.00 1
29 5 2 2396.34 0
30 4 1 2013.00 5
31 4 1 2140.00 4
32 4 1 2170.00 0
33 8 1 4269.00 2
34 7 2 3360.27 4
